"id","name","image","description"
"6462a6cd4c3d0ddd28897f95","Breakfast","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152924/foodies/categories/breakfast.webp","An easy start to the day: hearty, quick breakfasts that fuel your morning without the kitchen stress."
"6462a6cd4c3d0ddd28897f8f","Dessert","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152925/foodies/categories/dessert.webp","Sweet finishes for every mood — from simple homemade cookies to show-stopping celebration cakes."
"6462a6cd4c3d0ddd28897f8a","Seafood","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152926/foodies/categories/seafood.webp","Ocean-inspired dishes with the fresh taste of fish and shellfish, from everyday meals to refined plates."
"6462a6cd4c3d0ddd28897f8e","Beef","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152927/foodies/categories/beef.webp","Rich beef recipes — from juicy steaks to slow-cooked classics full of depth and comfort."
"6462a6cd4c3d0ddd28897f97","Goat","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152928/foodies/categories/goat.webp","Bold goat dishes rooted in global traditions, with a distinctive flavor worth exploring."
"6462a6cd4c3d0ddd28897f8b","Lamb","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152929/foodies/categories/lamb.webp","Tender lamb with aromatic spices — festive and everyday recipes with deep, satisfying taste."
"6462a6cd4c3d0ddd28897f93","Miscellaneous","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152930/foodies/categories/miscellaneous.webp","Unexpected picks outside the usual boxes — for when you want something different."
"6462a6cd4c3d0ddd28897f91","Pork","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152931/foodies/categories/pork.webp","Versatile pork recipes, from quick skillet dinners to juicy roasts and weekend grill favorites."
"6462a6cd4c3d0ddd28897f8c","Starter","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152932/foodies/categories/starter.webp","Light bites and openers that set the tone for lunch or dinner."
"6462a6cd4c3d0ddd28897f8d","Chicken","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152933/foodies/categories/chicken.webp","Go-to chicken in dozens of ways — simple, filling, and always welcome at the table."
"6462a6cd4c3d0ddd28897f96","Side","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152934/foodies/categories/side.webp","Sides that complete the main: grains, vegetables, and easy companions for meat or fish."
"6462a6cd4c3d0ddd28897f92","Vegetarian","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152940/foodies/categories/vegetarian.webp","Meat-free plates built around vegetables, cheese, and grains — satisfying even for meat lovers."
"6462a6cd4c3d0ddd28897f90","Vegan","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152941/foodies/categories/vegan.webp","Fully plant-based cooking: bright recipes with no animal products."
"6462a6cd4c3d0ddd28897f94","Pasta","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152942/foodies/categories/pasta.webp","Pasta for any night — quick sauces, Italian classics, and comforting baked dishes."
"6462a6cd4c3d0ddd28897f98","Soup","https://res.cloudinary.com/dvc0lg6q7/image/upload/v1787152943/foodies/categories/soup.webp","From light broths to creamy bowls — warmth and comfort in every spoonful."
